GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myFirstMicroservice,com.tsi.omar.butt.program,MyFirstMicroserviceApplication,23,75,0,0,2,17,4,6,4,6
myFirstMicroservice,com.tsi.omar.butt.program,Actor,3,30,0,0,1,13,1,7,1,7
